type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Planning Appeal,"Kilgobbin (Td.) Stepaside, Dublin 18, on a site (0.738ha) north-west of the existing Stepaside ...",315921,Invalid- fee S.127(1)(f),19no. 2-storey houses comprising 17no. 4-bed and 2no. 3-bed units and all associated site and development works.,27/02/2023,27/02/2023,No,No,"McGarrell Reilly Homes
								(Applicant); McGarrell Reilly Homes Limited
								(1st Party Appellant)
															(Invalid); McGarrell Reilly Homes Limited
								(1st Party Appellant)",,
Planning Appeal,"The Grange, Ballyboughal, Co. Dublin",315941,Invalid- fee S.127(1)(f),"Provision of a storage shed, local alteration to existing boundary walls, landscaping, soakpit, SUDS and all associ...",01/03/2023,01/03/2023,No,No,"Naul Road Development Ltd
								(Applicant); Naul Road Development Ltd
								(1st Party Appellant)
															(Invalid); Naul Road Development Limited
								(1st Party Appellant)",53.51674855,-6.267750108760987
Compulsory Acquisition Housing Act,"Jugback Lane, Swords, Co. Dublin",316023,No objections Received,"Compulsory purchase order of site at Jugback Lane, Swords, Co. Dublin",09/03/2023,14/04/2023,No,No,"Fingal County Council
								(Applicant); Fingal County Council
															(Active)",53.46755017790186,-6.22670600515444
Planning Appeal,"9 Saint Brendan's Cottages, Irishtown, Dublin 4",316061,Invalid- late S.127(1)(g),The development will consist of a first floor dormer roof structure to front elevation of dwelling and associated s...,15/03/2023,15/03/2023,No,No,"Brian and Gillian Kealy
								(Applicant); Brian and Gillian Kealy
								(1st Party Appellant)
															(Invalid)",,
Planning Appeal,"7, Saint Brendan's Cottages, Irishtown, Dublin 4",316062,Invalid- late S.127(1)(g),The development will consist of a first floor dormer roof structure to front elevation of dwelling and associated s...,15/03/2023,15/03/2023,No,No,"Christina Marini
								(Applicant); Christina Marini
								(1st Party Appellant)
															(Invalid)",53.357699100000005,-6.2898685681927695
Planning Appeal,"Milltown Golf Club, Churchtown Road Lower, Churchtown, Dublin 14, D14 E528",316092,Invalid Fee,Retention permission for changes to the fence treatment at the Churchtown Road Lower boundary of the golf club grou...,20/03/2023,20/03/2023,No,No,"Milltown Golf Club Trustees Limited
								(Applicant); Milltown Golf Club Trustees Limited
								(1st Party Appellant)
															(Invalid)",53.30038815,-6.257415066388122
Compulsory Acquisition Housing Act,Dublin 11,316124,No objections Received,Compulsory Purchase Order 2023 - Lands at Mayeston Hall and Mayeston Green,23/03/2023,27/04/2023,No,No,"Fingal County Council
								(Applicant); Kildare County Council
								(Planning Authority)
															(Active); Fingal County Council
								(Planning Authority)
															(Active)",53.386613600000004,-6.292626932293775
Compulsory Acquisition Housing Act,"Seatown, Swords, Co. Dublin",316162,No objections Received,Compulsory Purchase Order of St. Michael's House and Fingal County Council Car Park,30/03/2023,27/04/2023,No,No,"Fingal County Council
								(Applicant); Fingal County Council
								(Planning Authority)
															(Active)",53.46375425,-6.2102323750142325
Planning Appeal,"Site at New Street, off New Street South, Dublin 8",316167,Invalid- no acknowledgement of local submission S.127(1)e,"Amendments to 3752/19 and ABP-307062-20, consisting of increase of total floor area and height of plant screen at r...",31/03/2023,31/03/2023,No,No,"BCP Fund Management DAC
								(Applicant); Fergal & Jai Bonner
								(3rd Party Appellant)
															(Invalid)",,
Planning Appeal,"36, Whitethorn Crescent, Dublin 22",316196,Invalid-fee S.4(1)(e),Retention of a utility shed in the rear garden,04/04/2023,04/04/2023,No,No,"Laurence O'Reilly
								(Applicant); Laurence O'Reilly
								(1st Party Appellant)
															(Invalid)",,
Planning Appeal,"54, Nash Street, Inchicore, Dublin 8",316208,Appeal withdrawn S.140(1)(a),"Demolition of shed and extensions, construction of extension and 3 dwellings with all associated site works",06/04/2023,09/05/2023,No,No,"Orbitiz Ltd
								(Applicant); Kevin Blake
								(3rd Party Appellant)
															(Active); Kevin Blake
								(3rd Party Appellant)
															(Withdrawn)",53.33620807422144,-6.330882307193666
Planning Appeal,"44, Martin Street, Portobello, Dublin 8 D08 N1Y6",316210,Invalid- late S.127(1)(g),"Retention of extension, internal and external alterations with all associated site works",06/04/2023,06/04/2023,No,No,"Paul Downey
								(Applicant); Sean O'Connell
								(3rd Party Appellant)
															(Active); Sean O'Connell
								(3rd Party Appellant)
															(Invalid)",53.3301271,-6.26813035
Pre-Application Consultation Request,"St Vincent's University Hospital Campus (SVUH), Elm Park, Dublin 4",316225,Is not Strat. Infrast. Dev.,Proposed installation of a new 110kV/MV station,11/04/2023,01/06/2023,No,No,"Brendan Allen - Planning Team Leader
								(Applicant); Brendan Allen - Planning Team Leader
															(Active)",53.36656245,-6.200293081075038
Planning Appeal,"The Former Builders Suppliers Yard Site at the Ranch, Liffey Street South, Inchicore, Dublin 10",316240,Invalid- name/address S.127(1)(b),Construction of 6 storey apartment block with 13 dwellings and all associated site works,11/04/2023,11/04/2023,No,No,"Thomas Corcoran
								(Applicant); Thomas Corcoran
								(1st Party Appellant)
															(Invalid)",53.34690579434601,-6.263307541589876
Planning Appeal,"Lands to side of No. 1 Meadowmount, Dublin 16, D16WP71",316256,Invalid- fee S.127(1)(f),The construction of a new part single storey and part two storey detached contemporary three bedroom flat roofed ho...,12/04/2023,12/04/2023,No,No,"Brendan Conway
								(Applicant); Moira Fletcher
								(3rd Party Appellant)
															(Invalid)",,
Planning Appeal,"Unit 5, The Manor Shopping Centre, Swords Manor Avenue, Swords, Co. Dublin",316258,Invalid- fee S.127(1)(f),(a) Change of use from office space to veterinary clinic; (b) signage to include an acrylic lettering and logo sign...,13/04/2023,13/04/2023,No,No,"Sergiu Harsa
								(Applicant); Emma Holton
								(3rd Party Appellant)
															(Invalid); Emma Hamilton
								(3rd Party Appellant)",53.4107221,-6.3548675
Planning Appeal,"Unit 5, The Manor Shopping Centre, Swords Manor Avenue, Swords, Co. Dublin",316280,Invalid- fee S.127(1)(f),(a) Change of use from office space to veterinary clinic; (b) signage to include an acrylic lettering and logo sign...,17/04/2023,17/04/2023,No,No,"Sergiu Harsa
								(Applicant); Emma Holton
								(3rd Party Appellant)
															(Invalid)",53.4107221,-6.3548675
Planning Appeal,"70A, Hillcrest Park, Glasnevin, Dublin 11, D11 HD30",316287,Invalid- no acknowledgement of local submission S.127(1)e,RETENTION: of an existing first floor domestic extension to the rear (north) of the house together with all associa...,17/04/2023,17/04/2023,No,No,"Rebecca & Aidan Cornally
								(Applicant); David Murray
								(3rd Party Appellant)
															(Invalid)",53.5710427,-6.1168748
Leave to Appeal S37(6),"48, Ardbeg Park, Dublin 5, d05 f5c3",316347,Invalid- grounds S.37(6)(b),Construction of 1 & 2 story extension to side/rear and all associated works.,20/04/2023,20/04/2023,No,No,"Thomas Keenan
								(Applicant); Tracy Ann Muscat
															(Invalid)",53.38502858293388,-6.205813708527759
Planning Appeal,"No 3 Monaloe Crescent and garden of no 2 Monaloe Crescent, Deansgrange, Blackrock, Co Dublin",316528,Withdrawn,Construct of 10 no. Dwellings and all associated site works and services including new watermain along Monaloe Cres...,25/04/2023,22/05/2023,No,No,"Ballygihen Construction Limited
								(Applicant); John Mooney and Avril Iremonger
								(3rd Party Appellant)
															(Active); John Mooney and Avril Iremonger
								(3rd Party Appellant)
															(Withdrawn)",,
Building Control - Fire Safety Certificate,"Block B1, B2, F & G, Zone 7, Sector 2, Hansfield, Dublin 15",316531,Invalid,Fire Safety Certificate: Construction of 4 apartment blocks over a shared basement.,26/04/2023,26/04/2023,No,No,"Thomas Freeman
								(Applicant); Thomas Freeman
															(Invalid); Thomas Freeman Garlandbrook",53.4151863,-6.381305384820345
Planning Appeal,"Lucan East Educate Together N.S, Kishogue Cross, Lucan, Co Dublin",316581,Invalid- Development located in SDZ S.170(3),Retention of construction of canopy structure to the west of the main school building.,27/04/2023,27/04/2023,No,No,"The Minister of Education
								(Applicant); The Minister of Education
								(1st Party Appellant)
															(Active); The Minister of Education
								(1st Party Appellant)
															(Invalid)",,
Planning Appeal,"5, 6 & 7 Halston Street, Dublin 7, D07 NX32",316846,Invalid- no acknowledgement of local submission S.127(1)e,"Demolition of a derelict shed, front boundary wall & metal gates. Construction of a 4-storey apartment development ...",02/05/2023,02/05/2023,No,No,"Peter McVerry Trust
								(Applicant); Annette O'Brien and others
								(3rd Party Appellant)
															(Invalid)",53.3524335,-6.2793821
Planning Appeal,"Carrickbrack Road, Sutton South and Ceanchor Road, Censure, Howth, Co. Dublin",317025,Invalid,2 pumping stations (PSO1 and PS02) and associated infrastructure.,04/05/2023,04/05/2023,No,No,"Irish Water
								(Applicant); John Bellingham
								(3rd Party Appellant)
															(Invalid)",53.3665821,-6.0662089
Draft Map Appeal,"Parklands, Citywest, Dublin 24",317038,Invalid,Inclusion of the land on the residential zoned land tax draft map,03/05/2023,03/05/2023,No,No,"Greenacre Residential DAC
															(Invalid)",53.2742055,-6.3403446966806065
Draft Map Appeal,"Park West Business Park, Park West, Dublin 12",317040,Invalid,Inclusion of the land on the residential zoned land tax draft map,03/05/2023,03/05/2023,No,No,"Greenseed Limited
															(Invalid)",,
Draft Map Appeal,"Ballyboughal, County Dublin",317074,Invalid,Inclusion of land on Residential Zoned Land Tax draft map,02/05/2023,02/05/2023,No,No,"David Rogers
															(Invalid); David Rodgers
															(Invalid)",53.5205236,-6.2674973
Planning Appeal,"GIASUA (previously Casa Del Rey), Stillorgan Road, Blackrock, Co. Dublin, A94 V2H0",317104,Invalid- late S.127(1)(g),"Demolition of existing side garage, rear and side single storey extension, front porch and canopy, attic conversion...",12/05/2023,12/05/2023,No,No,"Hossam Bilasy and Soojung Kim
								(Applicant); Hossam Bilasy and Soojung Kim
								(1st Party Appellant)
															(Invalid)",53.312084051510375,-6.221279299930904
Planning Appeal,"Muldowney's Pub, Main Street, Rathcoole, Co. Dublin",317122,Invalid- no acknowledgement of local submission S.127(1)e,"Demolition of some of the existing structures on site; the reconfiguration, renovation, and extension of the existi...",15/05/2023,15/05/2023,No,No,"Lorat Trading Ltd.
								(Applicant); Finola O'Brien and Others
								(3rd Party Appellant)
															(Invalid)",53.2818989,-6.4660302
Planning Appeal,"Wycliffe, Millview Road, Malahide, Co. Dublin.",317137,Invalid-late,Apartment building comprising of 15 residential units,17/05/2023,17/05/2023,No,No,"Garvagh Homes Ltd
								(Applicant); John and Anne Speers
								(3rd Party Appellant)
															(Invalid)",53.4497278,-6.1752556
Planning Appeal,"20, Morehampton Terrace, Dublin 4, D04 K6WO",317185,Invalid- late S.127(1)(g),Protected Structure: Internal and External alterations with loft extension. Retention of external paving and all as...,24/05/2023,24/05/2023,No,No,"Rheda Donnelly
								(Applicant); Rheda Donnelly
								(1st Party Appellant)
															(Invalid)",53.324299100000005,-6.243567309468014
Vacant Site Levy - Appeal S.18,"Rear of 134-139 Phibsborough Road, Devery's Lane, Phibsborough, Dublin 7.",317204,Invalid- fee S.127(1)(f),Demand for Vacant Sites Levy,25/05/2023,25/05/2023,No,No,"Paul Newman and  Keith Lowe
								(Applicant); Paul Newman and  Keith Lowe
															(Invalid)",,
Planning Appeal,"326 Clontarf Road, Dublin 3.",317214,Invalid- fee S.127(1)(f),"Convert existing attic to one bedroom apartment, changes to internal first floor and ground floor layouts of office...",26/05/2023,26/05/2023,No,No,"John and Patricia Craddock
								(Applicant); John and Patricia Craddock
								(1st Party Appellant)
															(Invalid); John and Patricia Craddock
								(1st Party Appellant)",53.36400982782505,-6.226885815125747
Planning Appeal,"Merrion Road/Rock Road, Booterstown, Blackrock, Co. Dublin",317944,Invalid- late S.127(1)(g),"Demolition of garage and extension, construction of extension and of dwelling with all associated site works",01/09/2023,01/09/2023,No,No,"Soundvale Limited
								(Applicant); Soundvale Limited
								(1st Party Appellant)
															(Active)",53.3157209,-6.2047808
Planning Appeal,"Merrion Road/Rock Road, Booterstown, Blackrock, Co. Dublin",308845,Grant Permissions with Conditions,Permission for a new recreational and interpretive centre building and a range of associated biodiversity proposals...,07/12/2020,05/07/2023,Yes,Yes,"Soundvale Limited
								(Applicant); Soundvale Limited
								(1st Party Appellant)
															(Active)",53.3157209,-6.2047808
